Symptoms,Medications
"joint pain, back pain, shortness of breath, weight gain",atorvastatin
"loss of appetite, weight loss, fever, headache",venlafaxine
"joint pain, shortness of breath, abdominal pain, nausea","fluticasone, ibuprofen"
"muscle pain, anxiety, joint pain","ranitidine, insulin"
"vomiting, anxiety, headache, shortness of breath",lisinopril
anxiety,cetirizine
weight gain,diphenhydramine
"insomnia, body aches, diarrhea, depression","salmeterol, diphenhydramine"
"depression, back pain","albuterol, cetirizine"
"vomiting, runny nose, cough, loss of appetite",diphenhydramine
"back pain, insomnia","lisinopril, omeprazole"
"fever, nausea",acetaminophen
"weight loss, runny nose, body aches",ibuprofen
abdominal pain,albuterol
abdominal pain,"ibuprofen, azithromycin"
"allergic reaction, runny nose, weight loss, muscle pain","omeprazole, albuterol"
"back pain, nausea, weight gain, chest pain",ibuprofen
"diarrhea, weight loss, loss of appetite, back pain",metformin
"weight gain, rash","lisinopril, cetirizine"
"rash, back pain, anxiety","venlafaxine, loratadine"
"muscle pain, allergic reaction, swelling, depression",aspirin
"fatigue, vomiting","lisinopril, atorvastatin"
vomiting,"aspirin, salmeterol"
rash,"sertraline, diphenhydramine"
"runny nose, diarrhea, shortness of breath","amoxicillin, venlafaxine"
"muscle pain, body aches","diphenhydramine, fluoxetine"
"insomnia, shortness of breath, back pain",loratadine
"weight gain, swelling, weight loss, headache",cetirizine
"weight loss, swelling, runny nose, allergic reaction","acetaminophen, metformin"
"muscle pain, chest pain","cetirizine, fluoxetine"
"itching, shortness of breath","sertraline, lisinopril"
"diarrhea, fever, insomnia, chest pain","insulin, atorvastatin"
"muscle pain, body aches","cetirizine, loratadine"
"abdominal pain, shortness of breath, allergic reaction",cetirizine
"weight loss, nausea",simvastatin
muscle pain,cetirizine
chest pain,simvastatin
nausea,atorvastatin
"nausea, allergic reaction","ibuprofen, fluoxetine"
"body aches, nausea, loss of appetite",diphenhydramine
"muscle pain, allergic reaction, anxiety, shortness of breath",lisinopril
nausea,venlafaxine
"fever, cough, fatigue","amoxicillin, insulin"
"rash, headache, fatigue",cetirizine
"muscle pain, itching, weight loss, back pain","venlafaxine, insulin"
"anxiety, shortness of breath","amoxicillin, insulin"
"loss of appetite, fatigue, insomnia, fever",fluoxetine
"muscle pain, body aches, nausea, vomiting",cetirizine
"sore throat, back pain, fatigue, anxiety",albuterol
"rash, abdominal pain",sertraline
"insomnia, muscle pain, back pain, weight loss","atorvastatin, amoxicillin"
"sore throat, diarrhea, loss of appetite, headache","acetaminophen, salmeterol"
swelling,salmeterol
muscle pain,"venlafaxine, salmeterol"
"runny nose, anxiety, vomiting, swelling",escitalopram
"muscle pain, diarrhea, cough","diphenhydramine, metformin"
"vomiting, weight gain, nausea",ibuprofen
"runny nose, muscle pain, insomnia, diarrhea",amoxicillin
"weight gain, anxiety, nausea, vomiting","aspirin, atorvastatin"
"chest pain, joint pain, nausea, weight loss","albuterol, lisinopril"
back pain,ranitidine
runny nose,aspirin
weight gain,diphenhydramine
"headache, sore throat","omeprazole, venlafaxine"
"insomnia, itching, back pain",amoxicillin
"cough, sore throat, swelling",insulin
itching,cetirizine
"rash, body aches, chest pain, swelling","insulin, aspirin"
"muscle pain, abdominal pain, fever, joint pain","fluticasone, omeprazole"
"cough, fever, shortness of breath, fatigue","amoxicillin, fluticasone"
"chest pain, fever, back pain, shortness of breath","lisinopril, salmeterol"
"insomnia, headache, joint pain","venlafaxine, ranitidine"
sore throat,salmeterol
insomnia,"escitalopram, ibuprofen"
"rash, swelling, weight loss, shortness of breath",lisinopril
"muscle pain, fever, diarrhea, swelling","salmeterol, atorvastatin"
"rash, anxiety, cough","loratadine, salmeterol"
"sore throat, cough, anxiety","albuterol, insulin"
"itching, sore throat, depression, cough",salmeterol
"depression, shortness of breath, nausea, vomiting","azithromycin, venlafaxine"
"fatigue, itching",insulin
"anxiety, shortness of breath, weight gain","ibuprofen, omeprazole"
"chest pain, joint pain, weight gain, insomnia","simvastatin, ranitidine"
"allergic reaction, muscle pain","escitalopram, fluticasone"
"headache, fatigue, rash",amoxicillin
depression,insulin
"runny nose, allergic reaction, itching","insulin, albuterol"
"anxiety, abdominal pain",simvastatin
"joint pain, allergic reaction, weight gain, rash","venlafaxine, sertraline"
"diarrhea, rash, joint pain",acetaminophen
"nausea, diarrhea, back pain",fluoxetine
"depression, shortness of breath, diarrhea, swelling","insulin, ibuprofen"
"rash, back pain, joint pain","metformin, insulin"
headache,"fluoxetine, azithromycin"
fatigue,"escitalopram, aspirin"
"body aches, weight gain",simvastatin
"joint pain, cough, rash",atorvastatin
"fatigue, weight loss, muscle pain","fluoxetine, aspirin"
"nausea, diarrhea",loratadine
"runny nose, vomiting, diarrhea","metformin, simvastatin"
weight gain,"lisinopril, cetirizine"
diarrhea,ibuprofen
"joint pain, allergic reaction, muscle pain","insulin, escitalopram"
"fever, loss of appetite, chest pain",escitalopram
shortness of breath,salmeterol
"headache, depression","albuterol, cetirizine"
"vomiting, body aches, weight gain","lisinopril, albuterol"
"weight loss, itching",omeprazole
"abdominal pain, itching, anxiety, diarrhea",amoxicillin
anxiety,"ibuprofen, aspirin"
"insomnia, nausea",venlafaxine
"weight gain, weight loss","diphenhydramine, fluticasone"
"diarrhea, fever, cough",aspirin
"swelling, runny nose, headache, depression","ibuprofen, lisinopril"
"depression, abdominal pain, muscle pain, allergic reaction",albuterol
"joint pain, vomiting, swelling","diphenhydramine, amoxicillin"
"chest pain, runny nose, diarrhea, fatigue","insulin, fluticasone"
"sore throat, weight loss","acetaminophen, insulin"
"weight gain, chest pain","loratadine, diphenhydramine"
depression,"sertraline, insulin"
"anxiety, headache, weight loss",escitalopram
"weight gain, shortness of breath",aspirin
"allergic reaction, vomiting, diarrhea",atorvastatin
weight loss,"sertraline, escitalopram"
"headache, runny nose","simvastatin, fluoxetine"
"fatigue, diarrhea","ibuprofen, aspirin"
"sore throat, weight gain, depression, nausea",ibuprofen
"diarrhea, fever",ibuprofen
weight loss,"escitalopram, aspirin"
"itching, diarrhea, loss of appetite, fatigue","fluoxetine, amoxicillin"
"allergic reaction, weight loss","lisinopril, albuterol"
joint pain,metformin
"diarrhea, fever, cough","lisinopril, loratadine"
"body aches, runny nose, shortness of breath, cough",metformin
"body aches, shortness of breath, anxiety","azithromycin, ibuprofen"
anxiety,"insulin, fluticasone"
"runny nose, joint pain","metformin, atorvastatin"
"chest pain, cough, swelling, depression","ranitidine, diphenhydramine"
fever,sertraline
insomnia,venlafaxine
"fever, chest pain, runny nose","acetaminophen, ranitidine"
"itching, chest pain, joint pain, muscle pain","omeprazole, ibuprofen"
"allergic reaction, shortness of breath, swelling",aspirin
rash,amoxicillin
"diarrhea, cough, muscle pain","metformin, salmeterol"
"sore throat, fatigue",sertraline
"weight loss, insomnia, itching",aspirin
"swelling, diarrhea, vomiting, muscle pain","acetaminophen, lisinopril"
"anxiety, shortness of breath, headache",metformin
"back pain, shortness of breath, muscle pain, cough",cetirizine
"abdominal pain, itching, back pain",atorvastatin
"swelling, joint pain, nausea, runny nose","insulin, metformin"
"joint pain, shortness of breath",ibuprofen
depression,"salmeterol, acetaminophen"
"abdominal pain, shortness of breath, sore throat, swelling","ranitidine, fluoxetine"
muscle pain,"acetaminophen, venlafaxine"
weight gain,"metformin, sertraline"
"vomiting, sore throat, rash, shortness of breath","sertraline, salmeterol"
itching,"insulin, loratadine"
"nausea, vomiting","venlafaxine, diphenhydramine"
"chest pain, muscle pain","diphenhydramine, loratadine"
"nausea, headache, muscle pain, sore throat",azithromycin
"diarrhea, muscle pain, loss of appetite","azithromycin, amoxicillin"
"body aches, itching, abdominal pain, insomnia","ranitidine, loratadine"
"weight loss, rash, vomiting, nausea","insulin, albuterol"
abdominal pain,"insulin, fluoxetine"
loss of appetite,"metformin, azithromycin"
"headache, allergic reaction, swelling, muscle pain","salmeterol, lisinopril"
"abdominal pain, anxiety, back pain, depression","atorvastatin, amoxicillin"
loss of appetite,"atorvastatin, venlafaxine"
back pain,escitalopram
sore throat,acetaminophen
"weight loss, allergic reaction","simvastatin, acetaminophen"
"vomiting, fever, sore throat",fluticasone
"cough, itching",lisinopril
"rash, sore throat",diphenhydramine
"fever, itching, weight gain, body aches","omeprazole, diphenhydramine"
"shortness of breath, fatigue","salmeterol, diphenhydramine"
"cough, rash","diphenhydramine, lisinopril"
"itching, runny nose, back pain",simvastatin
"fatigue, allergic reaction","loratadine, atorvastatin"
chest pain,insulin
"fatigue, diarrhea","salmeterol, insulin"
fatigue,salmeterol
muscle pain,omeprazole
allergic reaction,"omeprazole, escitalopram"
"loss of appetite, joint pain","ranitidine, escitalopram"
anxiety,"cetirizine, simvastatin"
"allergic reaction, muscle pain, headache",loratadine
"headache, fatigue",cetirizine
body aches,amoxicillin
"itching, depression, abdominal pain, fever",aspirin
"fatigue, joint pain, chest pain, fever",metformin
"cough, fever, itching","lisinopril, escitalopram"
"nausea, fever, runny nose, headache",ibuprofen
"cough, rash, fever","aspirin, omeprazole"
"chest pain, runny nose, itching, weight gain",fluoxetine
"joint pain, runny nose","sertraline, ranitidine"
insomnia,diphenhydramine
back pain,atorvastatin
"loss of appetite, depression","fluoxetine, ibuprofen"
"depression, headache, shortness of breath, insomnia","azithromycin, omeprazole"
"fatigue, cough, anxiety, fever",atorvastatin
depression,salmeterol
runny nose,metformin
"swelling, loss of appetite, body aches, abdominal pain",amoxicillin
"rash, weight loss, vomiting, depression","atorvastatin, metformin"
vomiting,simvastatin
"itching, fatigue, headache",acetaminophen
"headache, body aches",simvastatin
"loss of appetite, muscle pain, joint pain, cough",fluticasone
"anxiety, body aches, nausea","omeprazole, atorvastatin"
"diarrhea, body aches",lisinopril
"allergic reaction, back pain, swelling",salmeterol
"itching, loss of appetite, allergic reaction","fluoxetine, sertraline"
"weight gain, itching","insulin, fluticasone"
"weight gain, loss of appetite",insulin
"runny nose, chest pain, cough","omeprazole, salmeterol"
rash,"ibuprofen, atorvastatin"
sore throat,sertraline
headache,metformin
"insomnia, runny nose, muscle pain, shortness of breath",sertraline
"back pain, allergic reaction, body aches, shortness of breath",loratadine
"fatigue, nausea, muscle pain, weight loss",metformin
"swelling, fatigue",fluticasone
"fatigue, weight loss, cough","escitalopram, simvastatin"
"weight gain, rash",albuterol
fatigue,"omeprazole, insulin"
"vomiting, headache, chest pain",atorvastatin
insomnia,fluticasone
"allergic reaction, weight gain, anxiety, vomiting",atorvastatin
"fatigue, fever",omeprazole
"shortness of breath, insomnia, fever, weight loss","salmeterol, sertraline"
rash,acetaminophen
"shortness of breath, diarrhea, back pain, nausea",lisinopril
"depression, diarrhea, swelling",ranitidine
itching,"diphenhydramine, aspirin"
"body aches, joint pain, sore throat","fluticasone, albuterol"
insomnia,acetaminophen
"swelling, nausea, shortness of breath","metformin, azithromycin"
"vomiting, nausea, back pain","amoxicillin, diphenhydramine"
diarrhea,loratadine
nausea,"acetaminophen, fluticasone"
"swelling, loss of appetite, diarrhea","ibuprofen, acetaminophen"
insomnia,"simvastatin, loratadine"
"vomiting, runny nose","ranitidine, aspirin"
"body aches, loss of appetite, allergic reaction, cough",aspirin
rash,"atorvastatin, venlafaxine"
"cough, fever","acetaminophen, salmeterol"
"runny nose, back pain, rash","albuterol, insulin"
"weight loss, weight gain, loss of appetite","sertraline, cetirizine"
"nausea, depression",amoxicillin
"shortness of breath, fever, itching","venlafaxine, metformin"
"chest pain, headache","ibuprofen, cetirizine"
"weight gain, insomnia",omeprazole
nausea,azithromycin
"itching, muscle pain, nausea",salmeterol
"cough, weight loss",escitalopram
"joint pain, runny nose, sore throat, diarrhea","omeprazole, fluticasone"
"diarrhea, loss of appetite, fatigue",ranitidine
itching,"lisinopril, ranitidine"
"nausea, weight loss",azithromycin
"anxiety, sore throat, back pain","cetirizine, simvastatin"
"shortness of breath, weight gain, swelling","ibuprofen, simvastatin"
rash,"lisinopril, venlafaxine"
shortness of breath,omeprazole
runny nose,fluticasone
"nausea, cough, rash",acetaminophen
"headache, runny nose","amoxicillin, loratadine"
"muscle pain, fever, weight gain","sertraline, metformin"
"shortness of breath, diarrhea, runny nose, joint pain","atorvastatin, ibuprofen"
"swelling, fever, loss of appetite",diphenhydramine
"diarrhea, runny nose, cough",metformin
"fever, insomnia, weight gain","insulin, amoxicillin"
weight loss,azithromycin
"rash, allergic reaction","azithromycin, acetaminophen"
"diarrhea, back pain, swelling, rash","fluticasone, metformin"
runny nose,salmeterol
"rash, nausea, depression, diarrhea","diphenhydramine, omeprazole"
"insomnia, back pain, runny nose","ranitidine, salmeterol"
vomiting,"omeprazole, azithromycin"
runny nose,insulin
"back pain, cough, vomiting","fluticasone, escitalopram"
"back pain, shortness of breath, nausea, loss of appetite",diphenhydramine
"chest pain, joint pain, diarrhea, muscle pain",metformin
"fever, abdominal pain","fluticasone, azithromycin"
"runny nose, back pain, headache",diphenhydramine
"back pain, insomnia, loss of appetite, depression","salmeterol, metformin"
"swelling, depression, fever, chest pain",amoxicillin
"swelling, itching, diarrhea","ibuprofen, aspirin"
chest pain,fluoxetine
allergic reaction,"acetaminophen, aspirin"
"shortness of breath, chest pain, body aches","aspirin, albuterol"
"vomiting, swelling, headache, loss of appetite",metformin
runny nose,diphenhydramine
"swelling, anxiety, runny nose, itching","simvastatin, escitalopram"
"chest pain, nausea, diarrhea, rash",metformin
"itching, rash, diarrhea, fever",fluoxetine
"runny nose, chest pain, weight gain","aspirin, lisinopril"
"diarrhea, vomiting, anxiety",escitalopram
rash,"sertraline, fluticasone"
"insomnia, allergic reaction, fever, vomiting",diphenhydramine
"loss of appetite, back pain","sertraline, azithromycin"
"weight loss, shortness of breath",diphenhydramine
"vomiting, anxiety, allergic reaction, headache",cetirizine
"allergic reaction, headache, fever, fatigue",albuterol
"diarrhea, insomnia",azithromycin
"runny nose, back pain, swelling","acetaminophen, simvastatin"
back pain,"fluticasone, simvastatin"
"weight gain, nausea, joint pain, rash",simvastatin
sore throat,ibuprofen
nausea,"venlafaxine, amoxicillin"
runny nose,albuterol
"back pain, fatigue","escitalopram, albuterol"
"vomiting, diarrhea, cough, depression",fluoxetine
"back pain, cough, chest pain",salmeterol
diarrhea,ibuprofen
"depression, chest pain, fever, diarrhea","aspirin, cetirizine"
joint pain,fluoxetine
"insomnia, cough",fluticasone
"joint pain, loss of appetite, weight gain, nausea","ibuprofen, aspirin"
diarrhea,escitalopram
"chest pain, anxiety, sore throat, cough",loratadine
weight gain,"acetaminophen, metformin"
depression,amoxicillin
"rash, headache, allergic reaction",diphenhydramine
vomiting,"atorvastatin, omeprazole"
"weight gain, joint pain","escitalopram, amoxicillin"
weight loss,azithromycin
"shortness of breath, vomiting",acetaminophen
"back pain, rash, swelling","ranitidine, simvastatin"
"loss of appetite, shortness of breath, body aches",venlafaxine
"diarrhea, body aches, weight gain, headache","amoxicillin, simvastatin"
diarrhea,"simvastatin, escitalopram"
"weight gain, diarrhea, fever, muscle pain",omeprazole
"weight loss, depression, diarrhea, joint pain",metformin
swelling,"fluoxetine, simvastatin"
itching,"lisinopril, ibuprofen"
"fever, anxiety, weight gain, abdominal pain","insulin, diphenhydramine"
"nausea, shortness of breath",ibuprofen
"runny nose, chest pain, body aches, allergic reaction","ranitidine, atorvastatin"
"allergic reaction, fever",metformin
"headache, sore throat, vomiting","fluticasone, cetirizine"
"body aches, cough","amoxicillin, metformin"
"rash, runny nose","aspirin, diphenhydramine"
"abdominal pain, fatigue","insulin, albuterol"
"swelling, shortness of breath, nausea","metformin, diphenhydramine"
back pain,simvastatin
"loss of appetite, muscle pain, cough, shortness of breath",venlafaxine
"joint pain, runny nose, body aches, itching",ranitidine
diarrhea,"escitalopram, omeprazole"
sore throat,"loratadine, lisinopril"
"diarrhea, weight gain","metformin, ibuprofen"
"sore throat, allergic reaction, weight loss","cetirizine, aspirin"
"weight gain, chest pain, itching, swelling","venlafaxine, ranitidine"
"back pain, swelling, runny nose, allergic reaction","cetirizine, loratadine"
"allergic reaction, rash","atorvastatin, salmeterol"
weight loss,diphenhydramine
"muscle pain, fever","ibuprofen, escitalopram"
"loss of appetite, runny nose",ibuprofen
back pain,omeprazole
depression,"diphenhydramine, insulin"
"body aches, itching, weight loss",sertraline
"body aches, vomiting, fever, allergic reaction",atorvastatin
"back pain, body aches, swelling, weight gain","albuterol, loratadine"
"insomnia, swelling, vomiting",escitalopram
"fever, headache, loss of appetite","ranitidine, fluoxetine"
"body aches, itching, weight loss","aspirin, albuterol"
"nausea, sore throat",venlafaxine
"cough, diarrhea, itching, sore throat",simvastatin
cough,azithromycin
"loss of appetite, runny nose, joint pain",simvastatin
"itching, anxiety, depression, back pain","fluoxetine, metformin"
"chest pain, cough","insulin, amoxicillin"
headache,insulin
"diarrhea, muscle pain","ibuprofen, albuterol"
